GPA,Orphanage,Disability,Community_Service,Family_Income_USD,Extracurricular_Activities,Disciplinary_Record,Scholarship_Status
3.28,No,Yes,Yes,438,Yes,Yes,Not Eligible
2.23,No,Yes,Yes,539,No,Yes,Not Eligible
2.68,No,No,Yes,1378,No,Yes,Not Eligible
3.53,No,No,Yes,154,No,No,Eligible
2.84,No,Yes,No,1680,Yes,Yes,Not Eligible
3.3,No,Yes,Yes,1964,No,No,Not Eligible
3.41,No,No,Yes,256,Yes,No,Eligible
3.38,No,No,Yes,375,Yes,No,Eligible
3.7,Yes,No,No,171,Yes,No,Eligible
3.22,Yes,No,No,1281,Yes,Yes,Not Eligible
3.2,No,No,Yes,385,No,No,Eligible
3.2,No,No,Yes,67,Yes,No,Eligible
3.8,No,Yes,Yes,83,Yes,No,Eligible
2.99,No,Yes,Yes,2120,Yes,No,Not Eligible
3.23,Yes,Yes,Yes,60,Yes,No,Eligible
1.89,Yes,Yes,No,1497,Yes,No,Not Eligible
1.69,Yes,No,No,591,No,No,Not Eligible
2.59,No,Yes,No,1330,Yes,No,Not Eligible
2.04,No,Yes,No,2327,Yes,No,Not Eligible
3.55,No,No,No,92,Yes,No,Eligible
2.21,Yes,No,Yes,2150,No,Yes,Not Eligible
2.23,No,Yes,No,683,No,Yes,Not Eligible
2.96,No,No,Yes,493,No,Yes,Not Eligible
2.86,No,Yes,Yes,698,No,No,Not Eligible
2.91,No,Yes,Yes,1377,No,Yes,Not Eligible
3.59,No,No,Yes,330,No,No,Eligible
3.74,No,No,Yes,381,No,No,Eligible
3.5,Yes,No,Yes,236,Yes,No,Eligible
3.6,Yes,Yes,No,115,No,No,Eligible
3.26,Yes,Yes,No,291,Yes,No,Eligible
2.16,No,No,No,1928,No,Yes,Not Eligible
3.91,No,Yes,Yes,121,Yes,No,Eligible
2.29,No,Yes,No,685,No,No,Not Eligible
3.48,No,No,Yes,303,Yes,No,Eligible
2.86,No,Yes,Yes,1745,Yes,No,Not Eligible
1.87,Yes,Yes,Yes,2403,Yes,Yes,Not Eligible
3.33,Yes,No,Yes,329,Yes,No,Eligible
1.93,Yes,No,Yes,2056,No,Yes,Not Eligible
3.62,Yes,Yes,No,262,Yes,No,Eligible
3.61,No,No,Yes,261,No,No,Eligible
3.74,No,Yes,Yes,221,Yes,No,Eligible
3.36,No,No,Yes,301,Yes,No,Eligible
2.95,No,No,No,1841,Yes,No,Not Eligible
3.06,Yes,Yes,Yes,1985,Yes,No,Not Eligible
2.6,No,Yes,Yes,621,No,No,Not Eligible
3.15,No,Yes,Yes,1728,Yes,No,Not Eligible
1.8,No,Yes,Yes,2092,Yes,No,Not Eligible
2.72,No,No,Yes,1782,No,No,Not Eligible
1.78,Yes,No,No,1338,No,Yes,Not Eligible
2.75,No,No,Yes,1257,No,No,Not Eligible
3.73,No,No,Yes,194,Yes,No,Eligible
3.39,No,Yes,Yes,198,Yes,No,Eligible
3.42,No,Yes,Yes,223,Yes,No,Eligible
2.48,Yes,Yes,No,782,Yes,No,Not Eligible
3.88,No,Yes,Yes,173,Yes,No,Eligible
1.78,No,Yes,No,621,No,Yes,Not Eligible
2.44,Yes,No,Yes,1365,No,Yes,Not Eligible
2.73,No,Yes,No,1328,Yes,Yes,Not Eligible
3.64,No,No,No,260,Yes,No,Eligible
3.45,No,No,No,165,Yes,No,Eligible
3.38,Yes,No,No,211,Yes,No,Eligible
3.92,No,No,No,87,No,No,Eligible
3.84,Yes,No,Yes,131,No,No,Eligible
3.9,Yes,No,Yes,84,No,No,Eligible
3.85,No,No,Yes,280,Yes,No,Eligible
2.98,No,Yes,Yes,2298,Yes,No,Not Eligible
2.14,No,Yes,Yes,1828,Yes,Yes,Not Eligible
3.83,Yes,Yes,Yes,132,No,No,Eligible
3.07,Yes,Yes,Yes,1671,No,No,Not Eligible
3.44,No,Yes,No,251,No,No,Eligible
3.82,No,No,Yes,237,Yes,No,Eligible
3.45,No,Yes,Yes,329,Yes,No,Eligible
2.58,Yes,Yes,Yes,1218,Yes,No,Not Eligible
2.91,No,No,Yes,301,No,No,Not Eligible
3.39,No,Yes,Yes,252,Yes,No,Eligible
3.34,No,No,Yes,85,No,No,Eligible
3.41,No,Yes,Yes,54,Yes,No,Eligible
3.22,No,No,Yes,245,No,No,Eligible
2.52,Yes,Yes,No,1307,Yes,Yes,Not Eligible
1.81,No,Yes,No,1750,Yes,No,Not Eligible
3.28,No,No,Yes,1198,No,Yes,Not Eligible
3.03,Yes,Yes,No,2440,Yes,Yes,Not Eligible
3.04,Yes,No,Yes,1999,Yes,No,Not Eligible
3.85,Yes,Yes,Yes,333,Yes,No,Eligible
3.7,No,Yes,No,54,Yes,No,Eligible
2.48,Yes,Yes,Yes,2396,No,No,Not Eligible
1.59,No,Yes,No,764,Yes,No,Not Eligible
3.36,No,Yes,No,100,Yes,No,Eligible
2.17,No,Yes,Yes,577,No,No,Not Eligible
1.87,No,No,No,904,Yes,Yes,Not Eligible
3.62,No,Yes,No,149,Yes,No,Eligible
1.58,No,No,Yes,513,No,No,Not Eligible
3.77,No,Yes,Yes,303,Yes,No,Eligible
3.97,Yes,Yes,Yes,357,Yes,No,Eligible
3.9,Yes,Yes,Yes,331,Yes,No,Eligible
2.61,No,No,Yes,590,Yes,No,Not Eligible
3.28,No,Yes,Yes,387,Yes,No,Eligible
2.49,No,No,Yes,1620,No,Yes,Not Eligible
3.29,No,Yes,Yes,2085,Yes,No,Not Eligible
2.21,Yes,No,Yes,780,No,No,Not Eligible
3.72,No,No,No,73,Yes,No,Eligible
1.65,No,No,No,2336,Yes,Yes,Not Eligible
1.61,No,Yes,Yes,1177,Yes,Yes,Not Eligible
1.79,Yes,Yes,Yes,1600,No,Yes,Not Eligible
3.33,Yes,No,Yes,174,No,No,Eligible
1.8,No,Yes,Yes,716,Yes,No,Not Eligible
1.65,No,Yes,Yes,2435,No,No,Not Eligible
2.02,No,No,No,1965,No,Yes,Not Eligible
2.57,Yes,Yes,Yes,398,No,No,Not Eligible
3.19,Yes,No,No,377,Yes,No,Not Eligible
2.28,Yes,No,Yes,1941,Yes,No,Not Eligible
3.38,Yes,No,Yes,124,Yes,No,Eligible
3.25,No,No,Yes,95,No,No,Eligible
3.95,No,Yes,Yes,80,Yes,No,Eligible
3.88,No,No,Yes,97,Yes,No,Eligible
2.37,No,Yes,Yes,1503,No,Yes,Not Eligible
3.43,Yes,Yes,No,319,No,No,Eligible
2.68,No,No,Yes,362,No,Yes,Not Eligible
3.04,No,No,Yes,1744,No,Yes,Not Eligible
2.3,Yes,No,Yes,1555,Yes,No,Not Eligible
3.14,No,No,Yes,1785,No,No,Not Eligible
